a,word,level
919,coach,A1
921,coal,A2
922,coalition,A3
923,coast,A1
924,coastal,A3
925,coat,A1
926,cocktail,A3
927,code,A1
928,coffee,A1
929,cognitive,A3
930,coin,A2
931,coincide,A3
932,coincidence,A1
933,cold,A1
935,collaborate,A3
936,collaboration,A3
937,collapse,A1
939,colleague,A1
940,collect,A1
941,collection,A2
942,collective,A3
943,collector,A1
944,college,A1
945,collision,A3
946,colonial,A3
947,colony,A1
948,colour,A1
949,coloured,A2
950,colourful,A1
951,column,A1
952,columnist,A3
953,combat,A3
955,combination,A1
956,combine,A2
957,come,A1
958,comedy,A1
959,comfort,A1
961,comfortable,A1
962,comic,A1
964,command,A1
966,commander,A1
967,commence,A3
968,comment,A1
970,commentary,A3
971,commentator,A3
972,commerce,A3
973,commercial,A2
975,commission,A1
977,commissioner,A3
978,commit,A2
979,commitment,A1
980,committee,A1
981,commodity,A3
982,common,A1
983,commonly,A1
984,communicate,A1
985,communication,A2
986,communist,A3
987,community,A1
988,companion,A3
989,company,A1
990,comparable,A3
991,comparative,A1
992,compare,A1
993,comparison,A2
994,compassion,A3
995,compel,A3
996,compelling,A3
997,compensate,A3
998,compensation,A3
999,compete,A1
1000,competence,A3
1001,competent,A3
1002,competition,A1
1003,competitive,A2
1004,competitor,A2
1005,compile,A3
1006,complain,A1
1007,complaint,A2
1008,complement,A3
1009,complete,A1
1011,completely,A1
1012,completion,A1
1013,complex,A2
1015,complexity,A3
1016,compliance,A3
1017,complicated,A1
1018,complication,A3
1019,comply,A3
1020,component,A1
1021,compose,A1
1022,composer,A1
1023,composition,A3
1024,compound,A1
1025,comprehensive,A1
1026,comprise,A1
1027,compromise,A3
1029,compulsory,A1
1030,compute,A3
1031,computer,A1
1032,conceal,A3
1033,concede,A3
1034,conceive,A3
1035,concentrate,A2
1036,concentration,A1
1037,concept,A1
1038,conception,A3
1039,concern,A1
1041,concerned,A1
1042,concert,A1
1043,concession,A3
1044,conclude,A2
1045,conclusion,A2
1046,concrete,A1
1048,condemn,A3
1049,condition,A1
1050,conduct,A1
1052,confer,A3
1053,conference,A1
1054,confess,A1
1055,confession,A3
1056,confidence,A1
1057,confident,A2
1058,configuration,A3
1059,confine,A3
1060,confirm,A2
1061,confirmation,A3
1062,conflict,A1
1064,confront,A3
1065,confrontation,A3
1066,confuse,A2
1067,confused,A2
1068,confusing,A1
1069,confusion,A1
1070,congratulate,A3
1071,congregation,A3
1072,congressional,A3
1073,connect,A1
1074,connected,A1
1075,connection,A2
1076,conquer,A3
1077,conscience,A3
1078,conscious,A1
1079,consciousness,A3
1080,consecutive,A3
1081,consensus,A3
1082,consent,A3
1084,consequence,A2
1085,consequently,A1
1086,conservation,A1
1087,conservative,A1
1089,conserve,A3
1090,consider,A1
1091,considerable,A1
1092,considerably,A1
1093,consideration,A1
1094,consist,A2
1095,consistency,A3
1096,consistent,A1
1097,consistently,A1
1098,consolidate,A3
1099,conspiracy,A1
1100,constant,A1
1101,constantly,A1
1102,constituency,A3
1103,constitute,A3
1104,constitution,A3
1105,constitutional,A3
1106,constraint,A3
1107,construct,A1
1108,construction,A1
1109,consult,A1
1110,consultant,A1
1111,consultation,A3
1112,consume,A2
1113,consumer,A2
1114,consumption,A1
1115,contact,A2
1117,contain,A1
1118,container,A2
1119,contemplate,A3
1120,contemporary,A1
1121,contempt,A3
1122,contend,A3
1123,contender,A3
1124,content,A3
1126,contention,A3
1127,contest,A1
1129,context,A1
1130,continent,A1
1131,continually,A3
1132,continue,A1
1133,continuous,A2
1134,contract,A1
1136,contractor,A3
1137,contradiction,A3
1138,contrary,A3
1140,contrast,A2
1142,contribute,A1
1143,contribution,A1
1144,contributor,A3
1145,control,A1
1147,controversial,A1
1148,controversy,A1
1149,convenience,A1
1150,convenient,A2
1151,convention,A1
1152,conventional,A1
1153,conversation,A1
1154,conversion,A3
1155,convert,A1
1156,convey,A1
1157,convict,A3
1158,conviction,A3
1159,convince,A2
1160,convinced,A1
1161,convincing,A1
1162,cook,A1
1164,cooker,A1
1165,cooking,A1
1166,cool,A1
1168,cooperate,A3
1169,cooperative,A3
1170,coordinate,A3
1171,coordination,A3
1172,coordinator,A3
1173,cop,A3
1174,cope,A1
1175,copper,A3
1176,copy,A1
1178,copyright,A3
1179,core,A1
1181,corner,A1
1182,corporate,A1
1183,corporation,A1
1184,correct,A1
1186,correction,A3
1187,correctly,A1
1188,correlate,A3
1189,correlation,A3
1190,correspond,A3
1191,correspondence,A3
1192,correspondent,A3
1193,corresponding,A3
1194,corridor,A1
1195,corrupt,A3
1196,corruption,A3
1197,cost,A1
1199,costly,A3
1200,costume,A2
1201,cottage,A2
1202,cotton,A2
1203,could,A1
1204,council,A1
1205,councillor,A3
1206,counselling,A3
1207,counsellor,A3
1208,count,A2
1210,counter,A1
1212,counterpart,A3
1213,countless,A3
1214,country,A1
1215,countryside,A2
1216,county,A1
1217,coup,A3
1218,couple,A1
1219,courage,A1
1220,course,A1
1221,court,A2
1222,courtesy,A3
1223,cousin,A1
1224,cover,A2
1226,coverage,A1
1227,covered,A2
1228,cow,A1
1229,crack,A1
1231,craft,A1
1233,crash,A1
1235,crawl,A3
1236,crazy,A1
1237,cream,A2
1239,create,A1
1240,creation,A1
1241,creative,A1
1242,creativity,A1
1243,creator,A3
1244,creature,A1
1245,credibility,A3
1246,credible,A3
1247,credit,A1
1249,creep,A3
1250,crew,A1
1251,crime,A1
1252,criminal,A2
1254,crisis,A1
1255,criterion,A1
1256,critic,A1
1257,critical,A1
1258,critically,A1
1259,criticism,A1
1260,criticize,A1
1261,critique,A3
1262,crop,A1
1263,cross,A1
1265,crowd,A1
1266,crowded,A1
1267,crown,A3
1268,crucial,A1
1269,crude,A3
1270,cruel,A2
1271,cruise,A1
1273,crush,A3
1274,cry,A1
1276,crystal,A3
1277,cue,A1
1278,cult,A3
1280,cultivate,A3
1281,cultural,A2
1282,culture,A1
1283,cup,A1
1284,cupboard,A1
1285,cure,A1
1287,curiosity,A3
1288,curious,A1
1289,curly,A1
1290,currency,A2
1291,current,A2
1293,currently,A2
1294,curriculum,A1
1295,curtain,A2
1296,curve,A1
1298,curved,A1
1299,custody,A3
1300,custom,A2
1301,customer,A1
1302,cut,A2
1304,cute,A1
1305,cutting,A3
1306,cycle,A1
1308,cynical,A3
1309,dad,A1
1310,daily,A1
1312,dairy,A1
1314,dam,A3
1315,damage,A2
1317,damaging,A3
1318,dance,A1
1320,dancer,A1
1321,dancing,A1
1322,danger,A1
1323,dangerous,A1
1324,dare,A1
1325,dark,A1
1327,darkness,A1
1328,data,A1
1329,database,A1
1330,date,A1
1332,daughter,A1
1333,dawn,A3
1334,day,A1
1335,dead,A1
1336,deadline,A1
1337,deadly,A1
1338,deal,A2
1340,dealer,A1
1341,dear,A1
1343,death,A1
1344,debate,A1
1346,debris,A3
1347,debt,A1
1348,debut,A3
1349,decade,A2
1350,december,A1
1351,decent,A1
1352,decide,A1
1353,decision,A1
1354,decision-making,A3
1355,decisive,A3
1356,deck,A1
1357,declaration,A3
1358,declare,A1
1359,decline,A1
1361,decorate,A2
1362,decoration,A1
1363,decrease,A1
1365,dedicated,A3
1366,dedication,A3
1367,deed,A3
1368,deem,A3
1369,deep,A1
1371,deeply,A1
1372,default,A3
1373,defeat,A1
1375,defect,A3
1376,defence,A1
1377,defend,A1
1378,defender,A1
1379,defensive,A3
1380,deficiency,A3
1381,deficit,A3
1382,define,A2
1383,definite,A2
1384,definitely,A1
1385,definition,A2
1386,defy,A3
1387,degree,A1
1388,delay,A1
1390,delegate,A3
1391,delegation,A3
1392,delete,A1
1393,deliberate,A1
1394,deliberately,A1
1395,delicate,A3
1396,delicious,A1
1397,delight,A1
1399,delighted,A1
1400,deliver,A2
1401,delivery,A1
1402,demand,A1
1404,democracy,A1
1405,democratic,A1
1406,demon,A3
1407,demonstrate,A1
1408,demonstration,A1
1409,denial,A3
1410,denounce,A3
1411,dense,A3
1412,density,A3
1413,dentist,A1
1414,deny,A1
1415,depart,A1
1416,department,A1
1417,departure,A2
1418,depend,A1
1419,dependence,A3
1420,dependent,A1
1421,depict,A3
1422,deploy,A3
1423,deployment,A3
1424,deposit,A1
1426,depressed,A1
1427,depressing,A1
1428,depression,A1
1429,deprive,A3
1430,depth,A1
1431,deputy,A3
1432,derive,A1
1433,descend,A3
1434,descent,A3
1435,describe,A1
1436,description,A1
1437,desert,A1
1439,deserve,A1
1440,design,A1
1442,designate,A3
1443,designer,A1
1444,desirable,A3
1445,desire,A1
1447,desk,A1
1448,desktop,A3
1449,desperate,A1
1450,desperately,A1
1451,despite,A2
1452,destination,A2
1453,destroy,A1
1454,destruction,A1
1455,destructive,A3
1456,detail,A1
1458,detailed,A1
1459,detain,A3
1460,detect,A1
1461,detection,A3
1462,detective,A1
1463,detention,A3
1464,deteriorate,A3
1465,determination,A1
1466,determine,A2
1467,determined,A2
1468,devastate,A3
1469,develop,A1
1470,development,A2
1471,device,A1
1472,devil,A3
1473,devise,A3
1474,devote,A1
1475,diagnose,A3
1476,diagnosis,A3
1477,diagram,A2
1478,dialogue,A1
1479,diamond,A2
1480,diary,A1
1481,dictate,A3
1482,dictator,A3
1483,dictionary,A1
1484,die,A1
1485,diet,A1
1486,differ,A1
1487,difference,A1
1488,different,A1
1489,differentiate,A3
1490,differently,A1
1491,difficult,A1
1492,difficulty,A2
1493,dig,A1
1494,digital,A1
1495,dignity,A3
1496,dilemma,A3
1497,dimension,A3
1498,diminish,A3
1499,dinner,A1
1500,dip,A3
1501,diplomat,A3
1502,diplomatic,A3
1503,direct,A1
1506,direction,A1
1507,directly,A2
1508,director,A1
1509,directory,A3
1510,dirt,A2
1511,dirty,A1
1512,disability,A1
1513,disabled,A1
1514,disadvantage,A2
1515,disagree,A1
1516,disagreement,A1
1517,disappear,A1
1518,disappoint,A1
1519,disappointed,A2
1520,disappointing,A2
1521,disappointment,A1
1522,disaster,A1
1523,disastrous,A3
1524,disc,A1
1525,discard,A3
1526,discharge,A3
1527,discipline,A1
1528,disclose,A3
1529,disclosure,A3
1530,discount,A2
1532,discourage,A1
1533,discourse,A3
1534,discover,A1
1535,discovery,A1
1536,discretion,A3
1537,discrimination,A3
1538,discuss,A1
1539,discussion,A1
1540,disease,A1
1541,dish,A1
1542,dishonest,A1
1543,disk,A1
1544,dislike,A2
1546,dismiss,A1
1547,dismissal,A3
1548,disorder,A1
1549,displace,A3
1550,display,A1
1552,disposal,A3
1553,dispose,A3
1554,dispute,A3
1556,disrupt,A3
1557,disruption,A3
1558,dissolve,A3
1559,distance,A1
1560,distant,A1
1561,distinct,A1
1562,distinction,A3
1563,distinctive,A3
1564,distinguish,A1
1565,distort,A3
1566,distract,A1
1567,distress,A3
1569,distribute,A1
1570,distribution,A1
1571,district,A1
